temps;distance
12;94
125;93
237;92
349;90
460;87
572;84
682;81
792;77
902;74
1011;72
1120;70
1267;-2
1415;-2
1523;58
1630;55
1737;52
1844;49
1950;46
2057;43
2163;40
2268;37
2373;34
2478;32
2582;29
2686;25
2789;23
2892;20
2996;17
3099;14
3201;12
